ImageSceneContainerName::Image Scene Container Name ;ImageSceneRow::Image Scene Row Index!!I;ImageSceneColumn::Image Scene Column Index!!I;ID::ID!!I;Index::Index!!I;IntensityMean_mCher::Intensity Mean Value of channel 'mCher'!!R;Area::Area!!R;Perimeter::Perimeter!!R;Roundness::Roundness!!R;FeretRatio::Feret Ratio!!R
;;;;;"Gray";"µm²";"µm";;
"E7";5;7;11;10;5749,6116591928;1913,1685744214;170,86193289425;0,74621060983039;0,72951753083945
"E8";5;8;2;1;4204,4364640884;155,28408608533;49,063528097979;0,67781950293221;0,80737538156892
"E8";5;8;3;2;4717,1343669251;332,01625035924;80,05171593262;0,52643615699921;0,64782826620483
"E8";5;8;4;3;4109,1466165414;228,2075519265;65,007109713843;0,49158147274866;0,54427232717563
"E8";5;8;5;4;4147;155,28408608533;48,745692298279;0,57615747812848;0,66467929255928
"E8";5;8;6;5;4583,75;545,63910911751;109,41216482035;0,37266193618741;0,43251032085748
"E8";5;8;7;6;5212,4362745098;175,01631801882;50,055595445495;0,70400719842317;0,7921087211825
"E8";5;8;8;7;3830,6034482759;99,519082795017;37,63079552115;0,79836821866918;0,88226451533727
"E8";5;8;9;8;4590,9236641221;112,38792970817;40,02585796631;0,75472741083212;0,85617365818024
"E8";5;8;10;9;4573,5081967213;156,99993234041;49,288271947251;0,68530922119666;0,78287296649885
"E8";5;8;11;10;4973,8785714286;120,10923785606;41,560504962798;0,84087676001591;0,92275349929397
"E8";5;8;12;11;4702,0454545455;132,12016164166;45,583306354875;0,67156219229104;0,76080095952039
"E8";5;8;13;12;4653,68;128,68846913149;42,10308461177;0,77954002476078;0,85833559608278
"E8";5;8;14;13;4151,8780487805;246,22393760491;65,007109713843;0,52434569568731;0,56030492875959
"E8";5;8;15;14;5962,8940809969;275,39332394138;62,387303419411;0,83410782649403;0,89443040919316
"E8";5;8;16;15;4082,037037037;69,491773331003;42,42092041147;0,55748125613969;0,88226451533727
