,type,feretmax,fiberlength,feretmin,maxcircle,diamfilled,maxwidth,feretratio,formcircle,areafilled,areaconv,radius,perimfilled,perimconv,perimcrotfilled,densmax,densmean,densmin,densstd,denssum,rectheight,rectwidth,boundleft,boundtop,boundwidth,boundheight,imgname
54,Metallic,81.9298792485864,89.6281865119629,15.0770932168621,9.87997658079625,26.9115966108062,12.6244145199063,0.18402435540172302,0.21584175808803,568.81207871485,942.009460093245,13.4557983054031,191.9490783179,175.597446936826,181.979137420084,255.0,164.472457627119,29.0,76.0801545699258,310524.0,15.3287328080633,81.9298792485864,4784.10421545667,4756.65983606557,33.4821428571429,76.844262295082,ShiftImage__
55,Non-metallic,81.6952420772086,107.922898112596,25.1867266101364,7.6844262295082,24.611015524452,15.9177400468384,0.30830102181878494,0.131773993483325,475.717305238744,1590.39515430729,12.305507762226,224.661669659992,185.613836865197,212.9926187422,88.0,55.8642131979695,36.0,8.01865455220783,88042.0,28.8660629290938,81.6952420772086,4574.97804449649,7250.8050351288,57.0843091334895,66.4153981264637,ShiftImage__
56,Non-metallic,81.4525696788253,98.8401921198937,19.4925943465729,15.3688524590164,37.0681797326841,19.2110655737705,0.239312208607216,0.31310796293509496,1079.17630612108,1460.85382761418,18.5340898663421,219.517175184346,184.676956790598,208.115332144397,71.0,53.6733724504051,31.0,8.75868103906937,192097.0,19.4925943465729,81.4525696788253,13147.5043911007,2918.43530444965,54.3398711943794,69.7087236533958,ShiftImage__
57,Non-metallic,81.2293034537289,80.3442980414002,19.5819413700513,17.5644028103044,37.2488375306353,19.2110655737705,0.24106991611969,0.431910804067491,1089.72102156335,1267.56722073997,18.6244187653176,187.81487755213,176.820003389072,178.059669320162,71.0,32.4733204312967,14.0,13.0251206155832,117456.0,19.6764292330346,81.2293034537289,8307.962529274,787.65368852459,58.1820843091335,61.4754098360656,ShiftImage__
58,Non-metallic,80.9973530692499,99.45196179425,19.5984059370003,9.87997658079625,22.6805122089212,13.7221896955503,0.241963535774365,0.131787174037265,404.013240231258,975.265564787556,11.3402561044606,207.028715356149,172.800993684048,196.275529801212,194.0,64.7971662938106,36.0,17.8356660589751,86893.0,19.5984059370003,80.9973530692499,3009.00175644028,3976.69057377049,21.9555035128806,80.137587822014,ShiftImage__
59,Non-metallic,80.9523960196302,81.2828712634685,18.2286742634225,16.4666276346604,38.9995921415415,17.5644028103044,0.225177698989938,0.453245856477785,1194.565620818,1318.11666009582,19.4997960707708,191.958543304015,178.983383958862,181.988110789604,81.0,44.3979823455233,19.0,10.1676239114521,176038.0,18.9034156531429,80.9523960196302,4065.61036299766,3853.73975409836,21.9555035128806,80.137587822014,ShiftImage__
60,Metallic,80.4947703173831,91.9113292229225,52.3989358461764,41.7154566744731,56.8828061374437,51.0465456674473,0.650960747382376,0.621376530687683,2541.27642158886,2890.43773211939,28.4414030687218,239.121095386632,204.378854211873,226.701013928999,255.0,59.6008298755187,15.0,34.6141899389873,502733.0,53.4569392681534,80.4947703173831,8859.59455503513,12630.4522833724,58.7309718969555,66.9642857142857,ShiftImage__
61,Metallic,78.8199660450608,88.0498439094498,21.3120869848269,17.5644028103044,33.116585099183,20.3088407494145,0.27038944640807,0.31455332703103994,861.352612842032,1143.30378672417,16.5582925495915,195.664801727059,167.276239342017,185.501864107891,205.0,80.517844646606,38.0,23.5160828929197,230120.0,21.8054649761245,78.8199660450608,7817.25702576112,8974.31206088993,70.8064988290398,34.5799180327869,ShiftImage__
62,Metallic,78.2467951562116,86.6024825497869,11.5281062701997,7.6844262295082,22.7058677363572,8.23331381733021,0.147330075911544,0.16986815383323497,404.917072983453,711.056744606058,11.3529338681786,182.556130587253,163.18890626596,173.074064570376,255.0,85.2254464285714,27.0,45.4522634341657,114543.0,12.9238521366027,78.2467951562116,11517.3082552693,5668.36211943794,18.1132903981265,76.844262295082,ShiftImage__
63,Non-metallic,76.7592572841734,77.8031876284328,10.876819121516,7.6844262295082,26.982772605544,8.78220140515222,0.141700421634469,0.275640916353916,571.824854555501,712.893703727893,13.491386302772,170.305640723632,162.301779880805,161.459871900678,69.0,38.6185458377239,18.0,13.0234413601465,73298.0,10.876819121516,76.7592572841734,9912.36094847775,10624.8170374707,47.2043325526932,62.5731850117096,ShiftImage__
